question,correct_answer,distractors,source_template
Name an actor from Horse Feathers.,Chico Marx,"Nellie Bly Baker, Friedrich Feher, Lew Ayres",Actor Question
Who directed the movie the Shop Around the Corner?,Ernst Lubitsch,"Alfred Hitchcock, James Whale, Howard Hawks",Director Question
"Through the connection Fred Astaire → Funny Face → ?, which final entity emerges?",Robert Flemyng,"Modern Times, P G, Paramount Pictures",Relational Chain
"Name an actor from Dracula, a film by Tod Browning.",Dwight Frye,"Groucho Marx, Emilie Kurz, Boris Karloff",Director-Actor Chain
Which director was responsible for Belle De Jour?,Luis Buñuel,"Howard Hawks, Jean Renoir, Leo McCarey",Director Question
Who starred in Safety Last?,Bill Strother,"Boris Karloff, Beulah Bains, Malcolm Waite",Actor Question
Identify the director of I Confess.,Alfred Hitchcock,"Jean Vigo, George Stevens, Howard Hawks",Director Question
Which director was responsible for mutiny on the Bounty?,Frank Lloyd,"Alfred Hitchcock, Charles Chaplin, Carl Theodor Dreyer",Director Question
Who starred in Duck Soup?,Groucho Marx,"Mae Clarke, André Berley, Charles Chaplin",Actor Question
Who was in the cast of Metropolis?,Alfred Abel,"Maly Delschaft, Charles Chaplin, F A Turner",Actor Question
"Name an actor from The General, a film by Clyde Bruckman.",Buster Keaton,"Grigoriy Aleksandrov, Maly Delschaft, Eugene Silvain",Director-Actor Chain
Which director was responsible for an Affair to Remember?,Leo Mc Carey,"Carl Theodor Dreyer, Charles Reisner, Victor Heerman",Director Question
When was Larry Forrester released?,1924,"1899, 1925, 1923",Release Date
Identify the director of strangers on a Train.,Alfred Hitchcock,"Victor Heerman, George Stevens, Howard Hawks",Director Question
Which actor appeared in the Cabinet of Dr Caligari?,Friedrich Feher,"Florence Lee, Mary Philbin, Mildred Davis",Actor Question
Identify the release date of James Vance Marshall.,1924,"1899, 1925, 1923",Release Date
"Through the connection Michel Auclair → Funny Face → ?, which final entity emerges?",Kay Thompson,"Stanley Donen, English, The Night of the Hunter",Relational Chain
What is the release year of Martha Hyer?,1924,"1899, 1925, 1923",Release Date
"Name an actor from The Gold Rush, a film by Charles Chaplin.",Charles Chaplin,"Mae Marsh, Henry Bergman, Maly Delschaft",Director-Actor Chain
King Kong was directed by whom?,Ernest B Schoedsack,"Jean Renoir, Frank Capra, Sam Taylor",Director Question
"Given that Michel Auclair is related to Funny Face, and Funny Face is related to United States of America, what is the final entity connected to Michel Auclair?",United States of America,"Leonard Gershe, Audrey Hepburn, John Guillermin",Relational Chain
Who was in the cast of Modern Times?,Henry Bergman,"Alfred Abel, Chico Marx, Joe Keaton",Actor Question
Who directed the movie The Awful Truth?,Leo Mc Carey,"Jean Renoir, Luis Buñuel, Ernst Lubitsch",Director Question
When was Robert E Thompson released?,1924,"1899, 1925, 1923",Release Date
When was Ernest Haycox released?,1899,"1924, 1900, 1898",Release Date
Who was in the cast of Steamboat Bill Jr?,Tom Mc Guire,"Chico Marx, Alfred Abel, Eugene Silvain",Actor Question
Who was in the cast of City Lights?,Harry Myers,"Marlene Dietrich, Jim Farley, Lew Ayres",Actor Question
In which year did Ivo Garrani come out?,1924,"1899, 1925, 1923",Release Date
"Name an actor from l' Age d' Or, a film by Luis Buñuel.",Gaston Modot,"Mary Philbin, Emilie Kurz, The Marx Brothers",Director-Actor Chain
Which actor appeared in D W Griffith's film intolerance Love's Struggle Throughout the Ages?,Robert Harron,"Buster Keaton, Jack Adams, Ivan Bobrov",Director-Actor Chain
"Given that Fred Astaire is related to Funny Face, and Funny Face is related to French, what is the final entity connected to Fred Astaire?",French,"Robert Flemyng, United States of America, Modern Times",Relational Chain
man with a Movie Camera was directed by whom?,Dziga Vertov,"Richard Rosson, Howard Hawks, Lewis Milestone",Director Question
Identify the director of Monsieur Verdoux.,Charles Chaplin,"Rouben Mamoulian, Alfred Hitchcock, Ernst Lubitsch",Director Question
"In The Circus directed by Charles Chaplin, who was one of the main actors?",George Davis,"The Marx Brothers, Malcolm Waite, Buster Keaton",Director-Actor Chain
Name an actor from Duck Soup.,Harpo Marx,"Charles Chaplin, Boris Karloff, Steve Murphy",Actor Question
Identify the director of Viridiana.,Luis Buñuel,"Richard Rosson, Alfred Hitchcock, Sam Wood",Director Question
Who directed the movie the Young and the Damned?,Luis Buñuel,"Karl Freund, Michael Curtiz, Merian C. Cooper",Director Question
"If Fred Astaire connects through The Towering Inferno, which entity is ultimately linked?",20th Century Fox,"United States of America, NOT RATED, Stanley Donen",Relational Chain
Which actor appeared in Clyde Bruckman's film The General?,Jim Farley,"Ernest Torrence, Mae Marsh, Werner Krauss",Director-Actor Chain
Which actor appeared in Buster Keaton's film The General?,Jim Farley,"Harry Myers, Tom Lewis, Buster Keaton",Director-Actor Chain
Identify the release date of Frédéric Grendel.,1924,"1899, 1925, 1923",Release Date
"In Battleship Potemkin directed by Sergei M Eisenstein, who was one of the main actors?",Ivan Bobrov,"Marlene Dietrich, Camilla Horn, Colin Clive",Director-Actor Chain
Hatari was directed by whom?,Howard Hawks,"Luis Buñuel, Alfred Hitchcock, James Whale",Director Question
